Player;Team;Wins;Losses;KDA;Kill;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Manila_Result
Secret.pieliedie;Team Secret;1;5;2.31;2.17;4.83;9;37;3.17;225;230;2;2;EU;16
Secret.Puppey;Team Secret;1;5;2.12;1;4.33;8.17;114.33;3.83;304;304;3;2;EU;16
Secret.Arteezy;Team Secret;1;5;1.86;4.5;5.83;6.33;230.33;7.5;459;441;4;2;AM;16
Secret.EternaLEnVy;Team Secret;1;5;1.82;4.67;5.67;5.67;279.17;10.33;508;508;5;2;AM;16
Mski.ryOyr;Team-Rave;1;7;3.05;4.25;4.63;9.88;159.38;8.88;410;441;1;1;SEA;0
rapy-;Team-Rave;1;7;2.45;4.88;5.25;8;143.25;4.13;389;385;2;1;SEA;0
Rave.Jeyo;Team-Rave;1;7;2.28;6.38;6.25;7.88;217.38;12;473;445;3;1;SEA;0
aaa;Team-Rave;1;7;2.22;3.25;5.63;9.25;29.25;1.63;234;255;4;1;SEA;0
nb;Team-Rave;1;7;2.1;2.88;7.25;12.38;58.5;2.13;282;294;5;1;SEA;0
n0tail;Acion Arena Pro Team;1;7;2.54;7.75;6;7.5;336.63;14.25;576;483;1;1;SEA;0
skemberlulu;Acion Arena Pro Team;1;7;2.35;3;6.5;12.25;182.5;5.13;386;382;2;1;SEA;0
Armel!;Acion Arena Pro Team;1;7;2.33;5.75;7.13;10.88;228;6.63;480;458;3;1;SEA;0
FLYSOLO;Acion Arena Pro Team;1;7;1.9;2;7.75;12.75;62.38;1;275;309;4;1;SEA;0
Shadow Priest;Acion Arena Pro Team;1;7;1.69;3;7.38;9.5;38;2.63;235;233;5;1;SEA;0
Ah Ten;Next-Gen VietNam;1;6;2.5;5.14;5.71;9.14;274.14;8.86;454;420;1;0;SEA;0
datbb;Next-Gen VietNam;1;6;2.07;3.71;6.14;9;147.86;0.71;345;333;2;0;SEA;0
PMA;Next-Gen VietNam;1;6;1.93;2;6.43;10.43;129;2.29;302;280;3;0;SEA;0
Life of the realest;Next-Gen VietNam;1;6;1.62;5.71;7.43;6.29;241.14;7.29;431;407;4;0;SEA;0
Magical;Next-Gen VietNam;1;6;1.34;1.71;8;9;43;3.43;222;211;5;0;SEA;0
Newbee.Y.Sccc;Newbee.Young;1;7;2.36;3.75;4.88;7.75;250.38;19.75;496;462;1;0;CN;0
