Player;Team;Wins;Losses;KDA;Kill;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Shanghai_Result
BRAX;Shazam~;6;6;2.92;2.33;3;6.42;136.58;4.17;357;343;2;1;AM;0
MSS;Shazam~;6;6;2.49;2.58;3.25;5.5;66.67;1.58;259;228;3;1;AM;0
Shazam.SVG;Shazam~;6;6;2.3;1.42;3.67;7;33.67;1.42;230;232;4;1;AM;0
ritsu;Shazam~;6;6;2.09;3;3.92;5.17;194.17;13;440;465;5;1;AM;0
VB.PatSoul;Void Boys;3;5;6.44;2.25;1.13;5;152.75;15;424;421;1;1;AM;0
Can't Trust No Fukin Body;Void Boys;3;5;2.46;3.5;3;3.88;189.75;11;474;467;2;1;AM;0
xuan;Void Boys;3;5;1.87;1.25;2.88;4.13;123.25;4.75;341;334;3;1;AM;0
VB.OmegaPwner;Void Boys;3;5;1.38;1.63;5.63;6.13;43.88;4.13;245;237;4;1;AM;0
VB.fly;Void Boys;3;5;1.25;1.75;5;4.5;31.75;1.75;216;204;5;1;AM;0
SiG.LaKelz;Signature.Dota2;4;4;4.76;9.13;4.13;10.5;232.63;21.75;528;510;1;1;SEA;0
MyPro;Signature.Dota2;4;4;3.58;7.38;4.5;8.75;207.13;12;517;524;2;1;SEA;0
SiG.aabBAA;Signature.Dota2;4;4;2.93;3.88;5.75;13;121.5;11;353;372;3;1;SEA;0
SiG.FeiMao;Signature.Dota2;4;4;2.91;4.75;5.38;10.88;32.13;2.38;264;272;4;1;SEA;0
Jabz;Signature.Dota2;4;4;2.85;3.63;5.88;13.13;73.63;0.88;311;354;5;1;SEA;0
Mski.JessieVash;Mineski.Sports5;4;4;4.4;2.13;3.13;11.63;32.38;1.5;286;280;1;1;SEA;0
Mski.ryOyr;Mineski.Sports5;4;4;3.24;3.63;4.13;9.75;183.75;15.13;448;476;2;1;SEA;0
TNC.Kuku;Mineski.Sports5;4;4;2.93;9.13;5.75;7.75;269.38;7.38;599;546;3;1;SEA;0
Mski.raging-_-potato;Mineski.Sports5;4;4;2.91;7.75;5.38;7.88;244.63;8.88;543;553;4;1;SEA;0
Mski.Julz*;Mineski.Sports5;4;4;1.75;1.63;6.38;9.5;60.38;3;282;293;5;1;SEA;0
PoF.wayto;power of friendship !!;4;4;4.11;3.5;2.25;5.75;143.25;4.38;381;348;1;1;AM;0
??????;power of friendship !!;4;4;3.7;2.38;2.5;6.88;124;3.38;347;359;2;1;AM;0
PoF.Sneyking;power of friendship !!;4;4;3.38;4.25;3;5.88;334;16.75;578;502;3;1;AM;0
USH!;power of friendship !!;4;4;2.9;3.63;3.75;7.25;181.88;4.13;405;387;4;1;AM;0
??;power of friendship !!;4;4;2.6;1.13;3.13;7;25.5;1.38;224;210;5;1;AM;0
CDEC.Y.Ame;CDEC.Youth;4;4;3.25;6.38;4;6.63;328.38;12.38;606;613;1;1;CN;0
CDEC.Y.Inflame;CDEC.Youth;4;4;2.33;5.63;5.75;7.75;233.5;12.25;461;458;2;1;CN;0
CDEC.A.JUNE;CDEC.Youth;4;4;2.29;3.13;6.13;10.88;176.63;3.38;396;394;3;1;CN;0
CDEC.Y.Darkrai;CDEC.Youth;4;4;2.23;4;5.38;8;55.5;0.88;284;300;4;1;CN;0
.....;CDEC.Youth;4;4;2.1;2;4.88;8.25;53;1.25;263;287;5;1;CN;0
iG.Ferrari_430;Invictus Gaming;3;5;3.83;6.5;3.75;7.88;236;10.5;443;439;1;1;CN;0
CDEC.Rabbit;Invictus Gaming;3;5;2.85;5.75;4.88;8.13;296.13;20.38;493;452;2;1;CN;0
CDEC.A.Xi;Invictus Gaming;3;5;2.8;3.25;5;10.75;213.63;5;390;374;3;1;CN;0
iG.xdd;Invictus Gaming;3;5;2.23;3.88;5.88;9.25;41.5;1.13;248;268;4;1;CN;0
iG.V.super;Invictus Gaming;3;5;1.91;1.63;5.38;8.63;81.75;1.13;253;255;5;1;CN;0
VG.CTY;EHOME;3;6;3.59;5.11;3.56;7.67;284.11;15.44;533;536;1;2;CN;9
EHOME.LaNm;EHOME;3;6;3.29;2.89;3.78;9.56;79;1.89;278;293;2;2;CN;9
EHOME.old chicken;EHOME;3;6;2.7;5.44;4.44;6.56;181.33;9.56;420;424;3;2;CN;9
Newbee.kaka;EHOME;3;6;2.64;2.89;5;10.33;56.22;1.33;267;294;4;2;CN;9
EHOME.old eleven;EHOME;3;6;1.79;3.67;5.89;6.89;186.22;6.44;417;441;5;2;CN;9
Everyone is Aomine;London Conspiracy Dota2;3;5;3.56;6.38;4;7.88;331.75;21.5;532;439;1;0;EU;0
The_13abyKnight;London Conspiracy Dota2;3;5;3.27;5.5;3.75;6.75;285;9.63;540;505;2;0;EU;0
Kefka;London Conspiracy Dota2;3;5;1.98;2.88;5.13;7.25;199.38;8.63;379;379;3;0;EU;0
biver;London Conspiracy Dota2;3;5;1.82;2.5;5.63;7.75;78.13;2.13;272;294;4;0;EU;0
Solen;London Conspiracy Dota2;3;5;1.48;1.25;6.5;8.38;50.75;2.38;238;257;5;0;EU;0
VP.G;Virtus.pro;3;6;3.29;6.44;4.56;8.56;263.56;10.89;530;557;1;2;EU;11
VP.Silent;Virtus.pro;3;6;3.28;6;4;7.11;317.78;16.44;563;550;2;2;EU;11
