Player,Team,Wins,Losses,KDA,Kill,Death,Assists,LH,DN,GPM,XPM,Shanghai_Result
NoT.Benjaz,Not Today !,1.0,7.0,2.46,3.88,3.25,4.13,243.25,10.25,513.0,501.0,0.0
NoT.Leostyle,Not Today !,1.0,7.0,2.43,3.88,3.5,4.63,219.25,9.13,468.0,464.0,0.0
kaka,Not Today !,1.0,7.0,2.19,1.75,3.38,5.63,30.25,2.75,211.0,221.0,0.0
LDS,Not Today !,1.0,7.0,2.14,2.25,3.5,5.25,103.13,7.0,308.0,328.0,0.0
@FanofSoyeon ♥,Not Today !,1.0,7.0,1.4,1.0,6.0,7.38,31.88,1.38,214.0,235.0,0.0
Zyzzy,Leviathan',1.0,6.0,2.21,4.29,4.0,4.57,247.29,7.43,448.0,431.0,0.0
Shiibbyy,Leviathan',1.0,6.0,1.78,4.43,5.29,5.0,225.71,9.0,450.0,459.0,0.0
FlyingZebra,Leviathan',1.0,6.0,1.77,1.57,4.43,6.29,51.71,1.86,239.0,227.0,0.0
Newsham,Leviathan',1.0,6.0,1.52,3.14,6.57,6.86,68.29,2.86,265.0,265.0,0.0
LvT.Jenkins,Leviathan',1.0,6.0,1.3,1.71,6.29,6.43,122.0,2.86,305.0,287.0,0.0
Newbee.Y.Sccc,Newbee.Young,0.0,8.0,2.36,6.63,7.0,9.88,381.5,13.75,486.0,410.0,0.0
woyaoying,Newbee.Young,0.0,8.0,2.5,4.88,5.5,8.88,459.88,23.25,537.0,435.0,0.0
-_-!,Newbee.Young,0.0,8.0,1.79,2.38,5.88,8.13,187.25,7.5,313.0,331.0,0.0
Newbee.Y.Mrrr,Newbee.Young,0.0,8.0,2.0,3.0,6.75,10.5,96.5,2.13,252.0,277.0,0.0
O.O,Newbee.Young,0.0,8.0,2.14,4.13,6.25,9.25,63.88,4.25,262.0,276.0,0.0
goddam,HellRaisers`,0.0,6.0,1.86,4.0,7.0,9.0,55.17,1.17,242.0,240.0,0.0
