Player;Team;Wins;Losses;KDA;Kills;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Tournament_Result;Changed Teams;Total_Games;New_Team
ElvisCochuelo 2.0;Vultur Gaming;0;6;1;0,83;5,67;4,83;12,67;0,67;174;186;5;1;AM;0;0;6;Vultur Gaming
`WG.NaNa.????;WarriorsGaming.Unity;8;8;3,2;9,75;6,19;10,06;348,56;13,88;608;583;1;1;AM;0;0;16;WarriorsGaming.Unity
WG.A?J?†;WarriorsGaming.Unity;8;8;4,9;7,19;3,75;11,19;387;12,31;597;534;2;1;SEA;0;0;16;WarriorsGaming.Unity
WG.Wenn.;WarriorsGaming.Unity;8;8;3,91;3,19;4,88;15,88;176,69;3,19;390;440;3;1;SEA;0;0;16;WarriorsGaming.Unity
ZacKy?;WarriorsGaming.Unity;8;8;3,01;3,38;5,38;12,81;69,94;2,06;277;308;4;1;SEA;0;1;16;None
WG - ah fu - ??;WarriorsGaming.Unity;8;8;2,55;2,5;6,13;13,13;44,5;1,56;254;280;5;1;SEA;0;0;16;WarriorsGaming.Unity
WF.kyx Y `;White Fries Gaming;4;9;4,86;7,31;3,31;8,77;349,62;13,85;560;517;1;0;SEA;0;0;13;White Fries Gaming
vov;White Fries Gaming;4;9;4,48;5,77;3,38;9,38;292,54;12,31;504;495;2;0;SEA;0;1;13;Newbee.Young
WF.hyhy;White Fries Gaming;4;9;3,92;3,31;3,85;11,77;137,77;2,69;343;362;3;0;SEA;0;0;13;White Fries Gaming
WF.poloson;White Fries Gaming;4;9;3,83;3,08;4,15;12,85;119,08;3,08;310;304;4;0;SEA;0;1;13;None
WF.Chisbug;White Fries Gaming;4;9;4,57;3,15;3,62;13,38;70,69;1,85;275;285;5;0;SEA;0;1;13;None
