Player;Team;Wins;Losses;KDA;Kill;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Frankfurt_Result;Changed_Teams
VANSKOR;CIS Rejects;2;6;1.47;1.88;7.5;9.13;31.13;2.88;221;216;4;1;EU;0;1
bambuk;CIS Rejects;2;6;1.43;3;7.63;7.88;99.88;5.75;317;324;5;1;EU;0;1
ARTES;CIS Rejects;1;3;2.18;4;5.5;8;180.25;21;424;407;1;1;EU;0;1
xuan;ROOT-gaming.com;1;5;3.33;4;4;9.33;119.83;4.17;334;328;1;0;AM;0;1
KvH;ROOT-gaming.com;1;5;2.32;6.17;6.17;8.17;194.33;13.5;439;419;2;0;AM;0;1
Conor Mcgregor;ROOT-gaming.com;1;5;2.16;6.5;5.33;5;316.5;6.5;515;463;3;0;AM;0;1
Froogoss;ROOT-gaming.com;1;5;1.8;2.67;6.67;9.33;39.33;0.83;250;240;4;0;AM;0;1
Peanut Bruddah;ROOT-gaming.com;1;5;1.63;1.67;6.83;9.5;39.5;3.17;257;280;5;0;AM;0;1
124421124241124;Boreal eSports;1;3;3.09;8;5.75;9.75;347.75;4.5;509;498;1;0;AM;0;0
ainiasaad;Boreal eSports;1;3;2.48;8;6.75;8.75;338;10.5;555;543;2;0;AM;0;0
dad;Boreal eSports;1;3;1.93;2.25;7.5;12.25;67.75;0.25;270;278;3;0;AM;0;0
Jeppins;Boreal eSports;1;3;1.71;5.75;8.5;8.75;111.25;7.75;348;373;4;0;AM;0;0
nimble navigato;Boreal eSports;1;3;1.52;2.25;7.75;9.5;71.5;4.25;253;256;5;0;AM;0;0
Pajkatt;Mamas-Boys;1;5;2.45;7.33;6.67;9;198.33;6.67;445;452;1;0;EU;0;1
Swiftending;Mamas-Boys;1;5;1.9;4.17;6.83;8.83;163.67;11.33;377;413;2;0;EU;0;1
KP.@SexyBamboe;Mamas-Boys;1;5;1.85;5.5;8;9.33;152.33;4.17;378;391;3;0;EU;0;1
DC.Saksa;Mamas-Boys;1;5;1.67;3;7.17;9;74.33;1.5;277;272;4;0;EU;0;1
Alliance.EGM;Mamas-Boys;1;5;1.66;3.33;8.83;11.33;36.83;1.83;249;272;5;0;EU;0;1
Aomine-Daiki;Rex Regum QEON;0;8;1.07;1.38;5.63;4.63;46.13;1.88;230;230;1;1;CN;0;1
Panda;Rex Regum QEON;0;8;1.48;3;6;5.88;144.88;7.13;414;415;2;1;CN;0;1
Nafari;Rex Regum QEON;0;8;1.86;3.75;5.25;6;77.88;4.38;300;340;3;1;CN;0;1
KoaLa;Rex Regum QEON;0;8;1.9;4.13;5;5.38;170.25;3.25;447;462;4;1;CN;0;0
offlane or nc;Rex Regum QEON;0;8;1.22;3;7.5;6.13;63;1.75;274;279;5;1;CN;0;1
DuBu;MVP HOT6;0;8;1.19;1.38;6.5;6.38;43.13;3.13;220;216;1;1;SEA;0;1
..;MVP HOT6;0;8;1.4;2.38;6.88;7.25;107.25;4;301;294;2;1;SEA;0;1
