"Player","Team","Wins","Losses","KDA","Kill","Death","Assists","LH","DN","GPM","XPM","Position","Inv_Status","Region","Tournament_Result","Changed_Teams","Total_Games"
"Sealion","Kingdom DotA~",2,7,1.74,1.22,4.67,6.89,44.67,2.11,217,208,5,0,"AM",0,1,9
"LGD.Maybe","LGD-GAMING",11,7,7.04,11.11,3,10,377.67,11.61,662,631,1,2,"CN",4,0,18
"LGD.Agressif","LGD-GAMING",11,7,4.93,8.28,4.06,11.72,341.83,20,578,557,2,2,"CN",4,1,18
"LGD.xiao8","LGD-GAMING",11,7,3.44,2.22,5.22,15.72,178.28,4.11,378,399,3,2,"CN",4,1,18
"LGD.Sep","LGD-GAMING",11,7,2.81,2.5,6,14.33,63.56,1.11,280,283,4,2,"CN",4,1,18
"LGD.MMY!","LGD-GAMING",11,7,3.41,2.56,4.61,13.17,39.33,3.39,248,255,5,2,"CN",4,0,18
"Mski.raging-_-potato","Mineski.Sports5",16,10,3.71,7.77,4.35,8.35,283.92,12.35,595,578,1,1,"SEA",0,0,26
"awraawr","Mineski.Sports5",16,10,4.8,5.5,3.46,11.12,231.73,8.85,569,519,2,1,"SEA",0,1,26
"Tilted","Mineski.Sports5",16,10,4.41,3.5,3.85,13.46,202.19,4.62,460,443,3,1,"SEA",0,1,26
"Mski.Julz*","Mineski.Sports5",16,10,3.4,3.38,4.65,12.42,90.54,1.69,346,353,4,1,"SEA",0,0,26
"Banana Pancake","Mineski.Sports5",16,10,2.95,2,4.23,10.5,37.92,1.54,269,287,5,1,"SEA",0,1,26
"MVP.QO","MVP Phoenix",7,7,3.79,8.21,5.07,11,280.07,8.57,547,506,1,2,"SEA",6,0,14
"MVP.MP","MVP Phoenix",7,7,6.93,6.36,2.86,13.43,268.79,10.71,518,486,2,2,"SEA",6,0,14
"MVP.FoREv","MVP Phoenix",7,7,4.03,6.21,5.07,14.21,180,2.71,415,432,3,2,"SEA",6,0,14
"MVP.Febby","MVP Phoenix",7,7,3.67,2.86,5.43,17.07,30.43,0.93,265,288,4,2,"SEA",6,0,14
"DuBu","MVP Phoenix",7,7,2.64,2.29,6.29,14.29,20.43,1.07,224,245,5,2,"SEA",6,0,14
"Ditya Ra","Natus Vincere",6,5,4.78,6,3.64,11.36,311,8.36,518,496,1,2,"EU",7,0,11
"Na`Vi.Dendi","Natus Vincere",6,5,4.14,6.82,4,9.73,242.64,21.36,457,439,2,2,"EU",7,0,11
"Na`Vi.GeneRaL","Natus Vincere",6,5,3.85,4.64,4.18,11.45,213.91,6.09,440,449,3,2,"EU",7,1,11
"??","Natus Vincere",6,5,2.57,2.73,5.55,11.55,141.27,5,344,348,4,2,"EU",7,1,11
"Na`Vi.!!! SoNNeikO !!!","Natus Vincere",6,5,4.04,2.73,4.36,14.91,69,3.73,298,336,5,2,"EU",7,0,11
"Newbee.Hao","Newbee",25,5,7.24,8.37,2.33,8.53,267.27,19.93,606,569,1,1,"CN",3,0,30
"Newbee.Mu","Newbee",25,5,7.56,6.7,2.2,9.93,208.53,13.27,574,519,2,1,"CN",3,0,30
"Newbee.kpii","Newbee",25,5,7.77,2.9,2.07,13.17,177.83,4.8,446,424,3,1,"CN",3,1,30
"Newbee.kaka","Newbee",25,5,4.36,2.77,3.8,13.8,59.17,1.37,321,322,4,1,"CN",3,1,30
"Newbee.ChuaN","Newbee",25,5,5.81,2.93,2.6,12.17,50.63,2.17,293,312,5,1,"CN",3,0,30
"Newbee.Y.FaN","Newbee.Young",1,7,2.3,4.5,5,7,294.88,15.63,528,483,1,0,"CN",0,1,8
"Newbee.Y.Sccc","Newbee.Young",1,7,2.36,3.75,4.88,7.75,250.38,19.75,496,462,2,0,"CN",0,0,8
"Newbee.Y.2Lei","Newbee.Young",1,7,1.64,3.13,6.25,7.13,130.63,3.5,333,346,3,0,"CN",0,1,8
"Newbee.Y.Le","Newbee.Young",1,7,1.8,1.88,5.75,8.5,59.38,1.13,246,241,4,0,"CN",0,1,8
"Newbee.Y.Mrrr","Newbee.Young",1,7,1.57,1.75,5.88,7.5,30.25,1.88,204,242,5,0,"CN",0,0,8
"Ah Ten","Next-Gen VietNam",1,6,2.5,5.14,5.71,9.14,274.14,8.86,454,420,1,0,"SEA",0,1,7
"Life of the realest","Next-Gen VietNam",1,6,1.62,5.71,7.43,6.29,241.14,7.29,431,407,2,0,"SEA",0,1,7
"datbb","Next-Gen VietNam",1,6,2.07,3.71,6.14,9,147.86,0.71,345,333,3,0,"SEA",0,1,7
"PMA","Next-Gen VietNam",1,6,1.93,2,6.43,10.43,129,2.29,302,280,4,0,"SEA",0,1,7
"Magical","Next-Gen VietNam",1,6,1.34,1.71,8,9,43,3.43,222,211,5,0,"SEA",0,1,7
"NoT.Benjaz","Not Today !",5,4,4.75,4.78,2.67,7.89,245.89,19.11,530,470,1,1,"AM",0,0,9
"NoT.Leostyle","Not Today !",5,4,3.77,5.44,3.44,7.56,222.22,12.56,519,469,2,1,"AM",0,0,9
"NoT.Kingteka","Not Today !",5,4,3.97,5.11,3.67,9.44,175.44,5.89,440,406,3,1,"AM",0,1,9
"NoT.Jericho","Not Today !",5,4,2.11,1.67,6.33,11.67,37.89,0.44,258,240,4,1,"AM",0,1,9
"NoT.Nightmare","Not Today !",5,4,1.69,2.44,5.78,7.33,32.56,1,250,237,5,1,"AM",0,1,9
"OG.N0tail","OG Dota2",13,5,4.63,4.78,3.17,9.89,260.06,9.44,585,528,1,2,"EU",1,0,18
"OG.Miracle-","OG Dota2",13,5,4.87,8.72,3.39,7.78,227.67,16.39,561,542,2,2,"EU",1,0,18
"OG.Moon","OG Dota2",13,5,4.63,3.06,3.11,11.33,138.28,2.94,380,390,3,2,"AM",1,0,18
"OG.Fly","OG Dota2",13,5,3.66,2.56,3.78,11.28,61.39,3,291,297,4,2,"EU",1,0,18
"OG.Cr1t","OG Dota2",13,5,3.57,2.44,4.22,12.61,39.28,1.17,271,293,5,2,"EU",1,0,18
"syeonix","Orange.Taring",9,6,7.35,8.27,2.67,11.33,338.8,9.6,576,531,1,1,"SEA",0,1,15
"Taring.YamateH","Orange.Taring",9,6,7.33,8.4,2.8,12.13,269.87,11.4,528,510,2,1,"SEA",0,1,15
"Nj","Orange.Taring",9,6,3.94,3.2,4.33,13.87,186,3.67,402,434,3,1,"SEA",0,1,15
"Ice","Orange.Taring",9,6,3.32,2.73,5.13,14.33,69.73,1.27,283,297,4,1,"SEA",0,1,15
"Taring.ling","Orange.Taring",9,6,3,3.47,5.6,13.33,69.13,3,278,316,5,1,"SEA",0,1,15
"Polarity.9pasha","Polarity Dota 2",2,6,3,6.75,5.25,9,335.5,9.25,550,501,1,1,"EU",0,1,8
"meow","Polarity Dota 2",2,6,2.74,4.25,5.25,10.13,303.88,15.75,482,459,2,1,"EU",0,1,8
"Polarity.DkPhobos","Polarity Dota 2",2,6,3,5.13,4.5,8.38,214.38,3.5,398,400,3,1,"EU",0,1,8
"Polarity.Lil","Polarity Dota 2",2,6,3.16,3.63,4.75,11.38,91.63,0.75,303,303,4,1,"EU",0,1,8
"?????????","Polarity Dota 2",2,6,2.13,2,5.88,10.5,41.25,2.38,229,263,5,1,"EU",0,1,8
"MSS","Shazam~",10,6,6.19,7.38,3,11.19,251.38,7.88,576,517,1,1,"AM",0,0,16
"TC","Shazam~",10,6,5.62,6.5,2.94,10,243.13,17.75,520,484,2,1,"AM",0,1,16
"BRAX","Shazam~",10,6,4.5,2.69,3.25,11.94,158.19,4.38,369,375,3,1,"AM",0,0,16
"Shazam.SVG","Shazam~",10,6,5.51,3.75,3.19,13.81,85.25,1.25,313,320,4,1,"AM",0,0,16
"Shazam.Jason","Shazam~",10,6,2.55,2.44,4.75,9.69,32.94,3.19,245,268,5,1,"AM",0,1,16
"SiG.LaKelz","Signature.Dota2",4,4,7.3,10.5,2.88,10.5,286.5,16.25,594,542,1,1,"SEA",0,0,8
"MyPro","Signature.Dota2",4,4,3.49,6.25,4.63,9.88,197.5,11,504,432,2,1,"SEA",0,0,8
"SiG.aabBAA","Signature.Dota2",4,4,5.03,5.88,3.75,13,144.13,4.25,408,435,3,1,"SEA",0,0,8
"Jabz","Signature.Dota2",4,4,3.66,3.5,5.5,16.63,45.38,1.5,296,329,4,1,"SEA",0,0,8
"Boombell","Signature.Dota2",4,4,1.98,1.38,6.88,12.25,23.38,2.75,227,234,5,1,"SEA",0,1,8
"AF.ThuG","Team AD FINEM",12,7,4.9,8.16,4.26,12.74,275.11,9.05,582,547,1,1,"EU",0,1,19
"AF.Madara","Team AD FINEM",12,7,5.24,7.74,3.89,12.68,264.63,9.11,559,527,2,1,"EU",0,1,19
"AF.SkyLark","Team AD FINEM",12,7,4.71,4.89,4,13.95,174.32,6.05,419,396,3,1,"EU",0,1,19
"AF.SsaSpartan","Team AD FINEM",12,7,2.48,3.89,6.95,13.32,57.32,2.63,303,319,4,1,"EU",0,1,19
"AF.Maybe Next Time","Team AD FINEM",12,7,3.28,3.21,5.58,15.11,32.84,1.68,292,301,5,1,"EU",0,1,19
"Empire.Ramzes666","Team Empire",16,15,4.37,8.32,4.16,9.87,307.58,12.81,585,551,1,1,"EU",12,1,31
"Empire.Afterlife","Team Empire",16,15,3.54,4.29,4.68,12.26,205.19,2.06,452,432,2,1,"EU",12,1,31
"Empire.Scandal","Team Empire",16,15,3.24,5.03,4.77,10.42,208.61,11.03,451,448,3,1,"EU",12,1,31
"Empire.Miposhka","Team Empire",16,15,3.47,3.03,5.03,14.42,76.58,2.65,324,311,4,1,"EU",12,1,31
"Empire.KingR?!","Team Empire",16,15,2.82,3.52,5.74,12.68,37.77,2.32,276,276,5,1,"EU",12,1,31
"Freedom.FLee","Team Freedom Dota 2",3,5,4.36,6.38,3.5,8.88,290.88,8.88,564,571,1,1,"AM",0,1,8
"Freedom.SunBhie","Team Freedom Dota 2",3,5,2.65,6.63,5.75,8.63,256,7.63,538,492,2,1,"AM",0,0,8
"Freedom.ixmike88","Team Freedom Dota 2",3,5,2.48,3.38,5.5,10.25,196.38,3.63,434,440,3,1,"AM",0,0,8
"Freedom.Eagle","Team Freedom Dota 2",3,5,1.61,3.63,8.25,9.63,67.13,0.25,289,285,4,1,"AM",0,1,8
"Freedom.Jubei","Team Freedom Dota 2",3,5,2.26,2.63,5.75,10.38,27,1.13,258,208,5,1,"AM",0,0,8
"Liquid.FATA-","Team Liquid",15,8,4.52,6.57,3.96,11.3,294.09,8.83,584,532,1,2,"EU",2,0,23
"Liquid.MATUMBAMAN","Team Liquid",15,8,4.78,8.13,3.87,10.35,263.52,9,539,521,2,2,"EU",2,0,23
"Liquid.MinD_ContRoL","Team Liquid",15,8,4.84,3.87,3.7,14,178.91,2.61,405,429,3,2,"EU",2,0,23
"Liquid.KuroKy","Team Liquid",15,8,2.92,3.22,5.7,13.43,73,0.91,293,319,4,2,"EU",2,0,23
"Liquid.JerAx","Team Liquid",15,8,3.86,2.74,4.48,14.57,56.57,2.09,286,340,5,2,"EU",2,0,23
"Secret.EternaLEnVy","Team Secret",1,5,1.82,4.67,5.67,5.67,279.17,10.33,508,508,1,2,"AM",16,0,6
"Secret.Arteezy","Team Secret",1,5,1.86,4.5,5.83,6.33,230.33,7.5,459,441,2,2,"AM",16,1,6
"EG.Universe","Team Secret",1,5,3.61,3,3,7.83,131.5,0.83,339,330,3,2,"AM",16,1,6
"Secret.Puppey","Team Secret",1,5,2.12,1,4.33,8.17,114.33,3.83,304,304,4,2,"EU",16,0,6
"Secret.pieliedie","Team Secret",1,5,2.31,2.17,4.83,9,37,3.17,225,230,5,2,"EU",16,0,6
"Rave.Jeyo","Team-Rave",1,7,2.28,6.38,6.25,7.88,217.38,12,473,445,1,1,"SEA",0,1,8
"Mski.ryOyr","Team-Rave",1,7,3.05,4.25,4.63,9.88,159.38,8.88,410,441,2,1,"SEA",0,1,8
"rapy-","Team-Rave",1,7,2.45,4.88,5.25,8,143.25,4.13,389,385,3,1,"SEA",0,1,8
"nb","Team-Rave",1,7,2.1,2.88,7.25,12.38,58.5,2.13,282,294,4,1,"SEA",0,1,8
"aaa","Team-Rave",1,7,2.22,3.25,5.63,9.25,29.25,1.63,234,255,5,1,"SEA",0,1,8
"TSpirit.Iceberg","Team. Spirit",2,6,2.58,10.25,6.63,6.88,228.5,17.63,510,493,1,1,"EU",0,0,8
"TSpirit.Illidan Stormrage 46sf","Team. Spirit",2,6,2.41,3.88,5.75,10,224.88,13,431,410,2,1,"EU",0,1,8
"TSpirit.Funn1k","Team. Spirit",2,6,2.96,5.88,5.88,11.5,157.25,9.13,411,413,3,1,"EU",0,1,8
